Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Myanmar,MMR,GDP (current US$),59607290408,63298361996,66053040483,67860515990,75065106228,79006113643,66345291160,62253049892,64815031669
Namibia,NAM,GDP (current US$),11335161084,10722018732,12895153160,13682018827,12541928103,10583748542,12402486184,12567271005,12351024844
Nauru,NRU,GDP (current US$),84863440.58,97541943.04,109355638.9,130995566.3,125160115.5,124685688.2,175390280.7,153824609.5,154127798.2
Nepal,NPL,GDP (current US$),24360801287,24524109484,28971588940,33111525237,34186180699,33433659301,36924841394,41182939601,40908073367
Netherlands (Kingdom of the),NLD,GDP (current US$),7.66E+11,7.84E+11,8.34E+11,9.14E+11,9.10E+11,9.10E+11,1.03E+12,1.01E+12,1.12E+12
New Caledonia,NCL,GDP (current US$),8738203074,8724568955,9174048682,9896402284,9475655325,9454629468,10071349664,9623318718,
New Zealand,NZL,GDP (current US$),1.78E+11,1.89E+11,2.07E+11,2.12E+11,2.13E+11,2.13E+11,2.54E+11,2.47E+11,2.53E+11
Nicaragua,NIC,GDP (current US$),12756706583,13286118584,13785943183,13025239912,12699046245,12681548304,14144067556,15649934215,17829215284
Niger,NER,GDP (current US$),9683867926,10398861982,11185104252,12837307497,12889555561,13744653103,14915002436,15433852712,16819170421
Nigeria,NGA,GDP (current US$),4.93E+11,4.05E+11,3.76E+11,4.22E+11,4.75E+11,4.32E+11,4.41E+11,4.73E+11,3.63E+11
North Macedonia,MKD,GDP (current US$),10064519963,10672467073,11307067070,12683068114,12606338449,12361036914,14000283827,13711469681,14761237042
Northern Mariana Islands,MNP,GDP (current US$),910000000,1230000000,1560000000,1301000000,1181000000,858000000,,,
Norway,NOR,GDP (current US$),3.88E+11,3.71E+11,4.02E+11,4.40E+11,4.09E+11,3.68E+11,5.03E+11,5.94E+11,4.86E+11
Oman,OMN,GDP (current US$),78710793238,75128738622,80856697009,91505851756,88060858257,75909397659,88191977373,1.15E+11,1.08E+11
Pakistan,PAK,GDP (current US$),3.00E+11,3.14E+11,3.39E+11,3.56E+11,3.21E+11,3.00E+11,3.49E+11,3.75E+11,3.38E+11
Palau,PLW,GDP (current US$),287215972.9,305404174.8,292345764.2,288160980.2,281828704.8,261179138.2,229858184.8,242333709.7,263020733.7
Panama,PAN,GDP (current US$),54091800000,57907700000,62202700000,67294169200,69721787500,57086836900,67406738100,76522511781,83382400000
Papua New Guinea,PNG,GDP (current US$),21723437010,20758876953,22742699138,24109780708,24751066911,23848445104,26113333240,31603619037,30932496250
Paraguay,PRY,GDP (current US$),36211447840,36089700223,38997129474,40225448341,37925338329,35432178068,39950899939,41952910858,42956263544
